external_user_id,q1_approval_trump,q3_congress,q4_state_gov,q5_local_gov,q6_repub_congress,q7_dems_congress,q8_follow_news,q34_political_views,q9_change_political_view,q25_time_spent_news,q27_news_trust_exist,q15_description_before_sophistic,q16_next_inline_potus,q17_branches_us_gov,q19_num_senators_state,q21_johnroberts_position,q22_num_seats_by_party,q23_num_women_justices,q24_sanctuary_cities,q30_education_enrolled,q31_emp_status,q32_self_emp_both,q33_marital_status,q35_religion,q36_today_politcal_aff,q26_trust_media,demo_ethnicity,demo_marital_status,demo_age,demo_income,demo_employment_status,demo_government_job,demo_teacher,demo_religious_preference,demo_residence_own_rent,demo_registered_voter,demo_political_affiliation,demo_race_2015_new,demo_education_new,demo_gender,demo_division,q28_trusted_source,demo_age_group,demo_job_position,demo_job_area,demo_state_color
159319_3992_01,1.0,2.0,1.0,1.0,3.0,5.0,1.0,Moderate,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,,2.0,Christian,Independent,Not very much,No,Married,72.0,"$100,000 to $149,999",Retired,,,Christianity,Own,Yes,Lean Republican,White,Some postgraduate or professional school or degree,Female,South Atlantic Division,fox,above_65,na,na,Red
4182976497_78419_01,2.0,3.0,3.0,4.0,5.0,2.0,1.0,Very liberal,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,,4.0,Christian,Democrat,A fair amount,No,Divorced,65.0,"Under $15,000",Retired,,,Christianity,Rent,Yes,Democrat,White,High school grad,Female,Mountain Division,washington_post,above_65,na,na,Blue
4010327662_78914_01,2.0,3.0,3.0,3.0,2.0,2.0,3.0,Very conservative,1.0,5.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,2.0,2.0,Christian,Republican,A fair amount,No,Married,52.0,"$50,000 to $74,999","Employed part-time, but not a full-time student",,,Christianity,Own,Yes,Republican,White,Some college,Female,West South Division,cnn,45_to_54,na,na,Red
123119_3992_01,1.0,5.0,5.0,4.0,5.0,5.0,1.0,Conservative,2.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,,2.0,Christian,Independent,None at all,No,Married,68.0,"$100,000 to $149,999",Retired,Yes,,Christianity,Own,Yes,Lean Republican,White,High school grad,Male,Middle Atlantic Division,na,above_65,Service/Labor,na,Blue
4142235973_78419_01,2.0,4.0,2.0,3.0,5.0,3.0,1.0,Very liberal,3.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,,4.0,Christian,Democrat,A great deal,No,Widowed,61.0,,Retired,,,Christianity,Own,Yes,Democrat,White,Some college,Female,Mountain Division,msnbc,55_to_64,na,na,Red
4206013957_78419_01,2.0,5.0,2.0,3.0,5.0,3.0,1.0,Moderate,2.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,,2.0,Christian,Lean Democrat,A great deal,No,Married,70.0,"$100,000 to $149,999",Retired,,,Christianity,Own,Yes,Democrat,White,Some college,Female,West North Division,cnn,above_65,na,na,Blue
4182941853_78419_01,1.0,4.0,4.0,1.0,5.0,5.0,2.0,Moderate,1.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,1.0,2.0,Other Religion,Other,None at all,No,Married,42.0,"$100,000 to $149,999",Employed Full Time,,,Don't Know,Own,Yes,Lean Democrat,White,Four year bachelor’s degree,Female,East North Division,na,35_to_44,na,na,Red
4198700022_78419_01,1.0,3.0,3.0,3.0,3.0,4.0,1.0,Moderate,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,,2.0,Christian,Independent,Not very much,No,Married,56.0,"$100,000 to $149,999",Homemaker,,,Christianity,Own,Yes,Lean Republican,White,Four year bachelor’s degree,Female,Middle Atlantic Division,internet,55_to_64,na,na,Blue
4206010627_78419_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,above_65,na,na,unknown
4224794399_78419_01,2.0,4.0,2.0,3.0,5.0,2.0,1.0,Liberal,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,Other Religion,Democrat,A fair amount,No,,69.0,,,,,,,,,White,Some postgraduate or professional school or degree,Male,Middle Atlantic Division,new_york_times,above_65,na,na,Blue
161962_3992_02,1.0,4.0,2.0,3.0,3.0,4.0,1.0,Conservative,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,,2.0,No Religion/Atheist/Agnostic,Lean Republican,Not very much,No,Married,87.0,"$50,000 to $74,999",Retired,,,Atheist,Own,Yes,Lean Republican,White,Some postgraduate or professional school or degree,Male,South Atlantic Division,fox,above_65,na,na,Red
4224785632_78419_01,2.0,2.0,2.0,2.0,4.0,1.0,1.0,Liberal,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,Christian,Democrat,A great deal,No,Divorced,61.0,"$75,000 to $99,999",Employed Full Time,Yes,Yes,Christianity,Own,Yes,Democrat,White,Some postgraduate or professional school or degree,Female,Mountain Division,msnbc,55_to_64,Professional,Education/Training/Library,Purple
124032_3992_02,2.0,5.0,1.0,2.0,5.0,5.0,1.0,Very conservative,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,No Religion/Atheist/Agnostic,Independent,None at all,Don't Know/Refused,Married,56.0,"$200,000 or more",Employed Full Time,No,No,Christianity,,Yes,Lean Republican,White,Four year bachelor’s degree,Male,West South Division,real_clear_politics,55_to_64,Professional,Computer/Information Systems/Mathematical,Red
4182988758_78419_01,1.0,5.0,3.0,3.0,5.0,5.0,1.0,Conservative,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,Christian,Republican,Not very much,No,Never Married,48.0,"$15,000 to $24,999",Employed Full Time,Refused,,Nonreligious/Secular,Rent,Yes,Lean Republican,White,High school grad,Male,Mountain Division,the_blaze,45_to_54,Secretarial/Clerical,Arts/Design/Entertainment/Sports/Media,Red
4206001687_78419_01,2.0,5.0,2.0,4.0,5.0,5.0,3.0,Moderate,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,,5.0,Christian,Independent,,No,Widowed,83.0,"$35,000 to $49,999",Retired,,,Nonreligious/Secular,,Yes,Independent,White,Some college,Male,West South Division,cnn,above_65,na,na,Red
070988_S02_01,1.0,4.0,1.0,1.0,4.0,3.0,1.0,Moderate,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,Other Religion,Independent,A fair amount,No,Married,68.0,"$35,000 to $49,999",Retired,No,,Christianity,Own,Yes,Democrat,White,Some postgraduate or professional school or degree,Female,East North Division,npr,above_65,Professional,Science/Engineering/Architecture,Red
4182944229_78419_01,1.0,4.0,5.0,5.0,4.0,5.0,1.0,Conservative,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,No Religion/Atheist/Agnostic,Independent,None at all,No,Married,48.0,"$35,000 to $49,999",Employed Full Time,Refused,,Agnostic,Own,Yes,Don't Know,White,Some college,Female,Pacific Division,na,45_to_54,Managerial,Other,Blue
029165_S01_HH,2.0,4.0,2.0,2.0,5.0,2.0,1.0,Moderate,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,,2.0,No Religion/Atheist/Agnostic,Republican,A great deal,No,Married,66.0,"$35,000 to $49,999",Retired,No,,Christianity,Own,Yes,Republican,White,Four year bachelor’s degree,Male,Pacific Division,abc,above_65,Professional,Arts/Design/Entertainment/Sports/Media,Blue
4209512926_78419_01,2.0,5.0,4.0,1.0,5.0,3.0,1.0,Moderate,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,Other Religion,Independent,A great deal,No,Married,60.0,"$150,000 to $199,999",Employed Full Time,,,Judaism,Own,Yes,Independent,White,Some postgraduate or professional school or degree,Male,Middle Atlantic Division,new_york_times,55_to_64,na,na,Red
089686_S02_01,2.0,4.0,3.0,3.0,4.0,4.0,2.0,Liberal,2.0,4.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,0.0,3.0,,2.0,Christian,Independent,A fair amount,No,Married,61.0,,Homemaker,,,Christianity,Own,Yes,Independent,White,Some college,Female,West South Division,na,55_to_64,na,na,Red
4109816524_78419_01,1.0,3.0,3.0,3.0,3.0,3.0,1.0,Moderate,2.0,3.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,0.0,2.0,2.0,2.0,No Religion/Atheist/Agnostic,Independent,Not very much,Yes,Married,55.0,"$75,000 to $99,999",Retired,Yes,,,,Yes,Independent,Hispanic,Four year bachelor’s degree,Male,Pacific Division,bret_baier,55_to_64,na,na,Blue
4194572687_78419_01,1.0,5.0,4.0,3.0,4.0,5.0,2.0,Conservative,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,,2.0,No Religion/Atheist/Agnostic,Republican,None at all,No,Married,71.0,"$35,000 to $49,999",Retired,,,Agnostic,Own,Yes,Republican,White,High school grad,Male,Mountain Division,fox,above_65,na,na,Blue
4183004230_78419_01,2.0,5.0,3.0,3.0,5.0,2.0,1.0,Very liberal,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,,2.0,Christian,Democrat,A great deal,No,Married,61.0,"$200,000 or more",Employed Full Time,Refused,,Christianity,Own,Yes,Democrat,White,Some college,Female,Middle Atlantic Division,new_york_times,55_to_64,Professional,Finance/Insurance/Real Estate,Blue
4210185633_78419_01,1.0,4.0,3.0,2.0,4.0,5.0,1.0,Conservative,2.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,,4.0,Christian,Republican,Not very much,No,Divorced,65.0,"$15,000 to $24,999",Retired,,,Don't Know,Own,Yes,Lean Republican,White,Some college,Male,East North Division,na,above_65,na,na,Red
81531810_23694_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,above_65,na,na,unknown
1855338859_78419_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,above_65,na,na,unknown
4148870446_78419_01,2.0,5.0,3.0,3.0,5.0,2.0,1.0,Liberal,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,Christian,Lean Democrat,A fair amount,No,Married,26.0,"Under $15,000",Employed Full Time,Refused,No,Christianity,Rent,Yes,Lean Democrat,White,Four year bachelor’s degree,Male,West South Division,new_york_times,25_to_34,Service/Labor,Arts/Design/Entertainment/Sports/Media,Red
4017231383_78914_01,2.0,5.0,4.0,3.0,5.0,5.0,3.0,Moderate,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,No Religion/Atheist/Agnostic,Independent,None at all,No,Married,47.0,"$100,000 to $149,999",Employed Full Time,No,No,Agnostic,Own,Yes,Republican,White,Four year bachelor’s degree,Male,Pacific Division,na,45_to_54,Military,Retail,Blue
4182952727_78419_01,1.0,4.0,2.0,2.0,4.0,4.0,3.0,Very conservative,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,Christian,Republican,None at all,No,Married,54.0,"$100,000 to $149,999",Employed Full Time,Refused,,Christianity,Own,Yes,Republican,White,High school grad,Male,East North Division,na,45_to_54,Managerial,Retail,Red
052053_S02_01,1.0,5.0,3.0,3.0,5.0,5.0,4.0,Very conservative,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,,2.0,Christian,Republican,None at all,No,Married,72.0,"$35,000 to $49,999",Retired,,,Christianity,Own,Yes,Republican,White,Some college,Female,East North Division,na,above_65,na,na,Red
84082993_23694_01,2.0,5.0,2.0,1.0,5.0,5.0,2.0,Moderate,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,Christian,Independent,A fair amount,No,Married,65.0,"$75,000 to $99,999",Employed Full Time,Yes,No,Christianity,Own,Yes,Independent,White,Some postgraduate or professional school or degree,Male,West North Division,local_tv,above_65,Managerial,Education/Training/Library,Red
4222256944_78419_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,above_65,na,na,unknown
4194568943_78419_01,1.0,3.0,5.0,5.0,3.0,3.0,2.0,Conservative,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,,2.0,Christian,Republican,Not very much,No,Married,72.0,"$35,000 to $49,999",Retired,,,Christianity,Own,Yes,Lean Republican,White,High school grad,Female,East North Division,fox,above_65,na,na,Blue
055521_S02_01,2.0,5.0,3.0,3.0,4.0,3.0,2.0,Moderate,1.0,6.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,,3.0,,2.0,Christian,Independent,A fair amount,No,Married,85.0,"$100,000 to $149,999",Retired,,,Christianity,Own,Yes,Independent,White,Some postgraduate or professional school or degree,Male,Pacific Division,cnn,above_65,na,na,Blue
4098549421_78419_01,1.0,4.0,4.0,3.0,4.0,4.0,1.0,Moderate,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,,2.0,Christian,Independent,Not very much,No,Married,76.0,"$50,000 to $74,999",Retired,,,Christianity,Own,Yes,Independent,White,High school grad,Male,East North Division,fox,above_65,na,na,Red
4194539966_78419_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,above_65,na,na,unknown
4224787480_78419_01,2.0,4.0,3.0,3.0,4.0,3.0,1.0,Liberal,2.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,,2.0,Christian,Independent,A fair amount,No,,69.0,,,,,,,,,Black,High school grad,Female,South Atlantic Division,newspapers,above_65,na,na,Red
4098573358_78419_01,2.0,4.0,3.0,3.0,5.0,3.0,1.0,Liberal,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,,2.0,Christian,Democrat,A fair amount,No,Married,70.0,"$50,000 to $74,999",Retired,,,,,Yes,Democrat,Black,Some postgraduate or professional school or degree,Female,South Atlantic Division,msnbc,above_65,na,na,Purple
4182915116_78419_01,2.0,5.0,2.0,3.0,5.0,3.0,3.0,Liberal,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,,1.0,No Religion/Atheist/Agnostic,Democrat,Not very much,No,Never Married,65.0,"$35,000 to $49,999",Retired,,,Atheist,Own,Yes,Democrat,White,High school grad,Male,Pacific Division,lawrence_o_donnell,above_65,na,na,Blue
4142215685_78419_01,2.0,3.0,3.0,2.0,3.0,2.0,1.0,Moderate,3.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,0.0,1.0,2.0,2.0,Don't know,Other,A fair amount,No,,64.0,"$150,000 to $199,999",,,,,,Yes,Republican,White,High school grad,Female,West North Division,cnn,55_to_64,na,na,Red
4224790225_78419_01,2.0,5.0,4.0,3.0,5.0,3.0,1.0,Moderate,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,No Religion/Atheist/Agnostic,Independent,A fair amount,No,Divorced,52.0,"$100,000 to $149,999",Employed Full Time,Refused,,Other,Own,Yes,Democrat,White,Four year bachelor’s degree,Female,Middle Atlantic Division,propublica,45_to_54,Managerial,Finance/Insurance/Real Estate,Red
4176621984_78419_01,2.0,2.0,2.0,2.0,3.0,2.0,1.0,Very conservative,2.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,,2.0,Christian,Other,A great deal,No,Married,66.0,"$15,000 to $24,999",Retired,,,Christianity,Rent,No,Don't Know,Black,Some college,Female,Pacific Division,msnbc,above_65,na,na,Blue
4224815810_78419_01,1.0,5.0,1.0,3.0,4.0,5.0,1.0,Moderate,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,Christian,Independent,None at all,Yes,,65.0,,,,,,,,,Hispanic,Four year bachelor’s degree,Male,West South Division,fox,above_65,na,na,Red
4176616735_78419_01,2.0,4.0,5.0,3.0,5.0,2.0,1.0,Liberal,2.0,6.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,3.0,,2.0,Christian,Democrat,A great deal,Yes,Married,67.0,"$35,000 to $49,999","Employed part-time, but not a full-time student",Refused,,Christianity,Own,Yes,Democrat,Hispanic,Four year bachelor’s degree,Male,West South Division,msnbc,above_65,Other,Community/Social Services,Red
4194563907_78419_01,2.0,4.0,2.0,3.0,4.0,3.0,1.0,Moderate,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,,4.0,No Religion/Atheist/Agnostic,Lean Democrat,A great deal,No,Divorced,64.0,"$35,000 to $49,999",Employed Full Time,,,Agnostic,Own,Yes,Lean Democrat,Other,High school grad,Female,Pacific Division,la_times,55_to_64,na,na,Blue
86085207_23694_02,2.0,4.0,3.0,2.0,5.0,4.0,1.0,Very liberal,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,,2.0,No Religion/Atheist/Agnostic,Other,Not very much,No,Married,53.0,"$75,000 to $99,999",Employed Full Time,Yes,No,Nonreligious/Secular,Own,Yes,Lean Democrat,White,Some postgraduate or professional school or degree,Male,East South Division,the_young_turks,45_to_54,Service/Labor,Other,Red
4142218605_78419_01,1.0,5.0,3.0,3.0,5.0,5.0,1.0,Very conservative,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,1.0,2.0,4.0,Christian,Republican,None at all,No,Divorced,56.0,"$35,000 to $49,999",Employed Full Time,Refused,No,Christianity,Own,Yes,Republican,White,High school grad,Male,West South Division,tucker_carlson,55_to_64,Service/Labor,Transportation,Red
4142218057_78419_01,1.0,4.0,2.0,2.0,4.0,5.0,1.0,Very conservative,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,2.0,2.0,Christian,Lean Republican,Not very much,No,Married,39.0,"$100,000 to $149,999",Employed Full Time,Don't Know,No,Christianity,Own,Yes,Lean Republican,White,Four year bachelor’s degree,Male,West North Division,daily_wire,35_to_44,Military,Other,Red
1878373679_78419_01,2.0,5.0,5.0,3.0,4.0,5.0,1.0,Conservative,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,Christian,Lean Republican,Not very much,No,Married,59.0,"$100,000 to $149,999",Employed Full Time,Refused,No,Christianity,Own,Yes,Lean Republican,White,Some postgraduate or professional school or degree,Male,Pacific Division,fox,55_to_64,Managerial,Education/Training/Library,Blue
4206012129_78419_01,2.0,4.0,4.0,4.0,4.0,4.0,2.0,Moderate,1.0,4.0,0.0,1.0,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,2.0,2.0,2.0,Christian,Independent,Not very much,No,Married,55.0,"$35,000 to $49,999","Employed part-time, but not a full-time student",Refused,,Christianity,Rent,Yes,Lean Republican,White,Some college,Male,Pacific Division,na,55_to_64,Service/Labor,Other,Blue
4176619926_78419_01,2.0,4.0,2.0,2.0,5.0,3.0,2.0,Moderate,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,,2.0,Don't know,Democrat,A fair amount,Yes,Married,66.0,"$200,000 or more",Retired,,,Nonreligious/Secular,Own,Yes,Democrat,Hispanic,Some postgraduate or professional school or degree,Female,Pacific Division,new_york_times,above_65,na,na,Blue
4182993561_78419_01,1.0,4.0,5.0,4.0,3.0,4.0,1.0,Conservative,1.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,Christian,Republican,None at all,No,Divorced,61.0,"$35,000 to $49,999",Employed Full Time,,,Christianity,Own,Yes,Republican,White,High school grad,Female,East North Division,na,55_to_64,na,na,Blue
4205997422_78419_01,2.0,5.0,4.0,3.0,5.0,5.0,1.0,Conservative,1.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,,2.0,Christian,Lean Republican,Not very much,No,Married,65.0,"$50,000 to $74,999",Retired,,,Christianity,Own,Yes,Lean Republican,White,Some college,Female,South Atlantic Division,na,above_65,na,na,Red
4083288467_5107_01,2.0,4.0,4.0,2.0,4.0,4.0,1.0,Liberal,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,No Religion/Atheist/Agnostic,Democrat,A fair amount,No,Living with a Partner,65.0,"$150,000 to $199,999",Employed Full Time,,No,Christianity,Own,Yes,Democrat,Black,Some postgraduate or professional school or degree,Male,West South Division,pbs,above_65,na,Finance/Insurance/Real Estate,Red
4206004226_78419_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,above_65,na,na,unknown
026062_S01_HH,1.0,3.0,3.0,4.0,3.0,3.0,3.0,Moderate,2.0,3.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,3.0,,5.0,Christian,Democrat,Not very much,No,Widowed,75.0,"$25,000 to $34,999",Retired,,,Christianity,Own,Yes,Democrat,White,Less than high school,Female,West South Division,na,above_65,na,na,Red
4198724110_78419_01,1.0,5.0,2.0,2.0,3.0,5.0,1.0,Moderate,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,2.0,2.0,Christian,Independent,None at all,No,Married,62.0,"$100,000 to $149,999",Employed Full Time,Don't Know,,Christianity,Own,Yes,Independent,White,Some postgraduate or professional school or degree,Male,East North Division,bbc,55_to_64,Professional,Science/Engineering/Architecture,Red
102256_3992_01,1.0,4.0,2.0,3.0,3.0,5.0,2.0,Moderate,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,,2.0,No Religion/Atheist/Agnostic,Independent,None at all,No,Married,59.0,"$150,000 to $199,999",Retired,No,,Nonreligious/Secular,Own,Yes,Lean Republican,White,Some postgraduate or professional school or degree,Male,West South Division,fox,55_to_64,Service/Labor,na,Red
